module	n_kos	saline_mean_fraction	non_saline_mean_fraction	saline_median_fraction	non_saline_median_fraction	mannwhitney_U	p_value	q_value
phosphorus_acquisition	9	0.7407407407407409	0.7632850241545894	0.7777777777777778	0.7777777777777778	1010.0	0.0282872489792354	0.1697234938754124
nitrogen_assimilation	3	0.5617283950617284	0.5942028985507247	0.6666666666666666	0.6666666666666666	1121.0	0.2784906876294626	0.5569813752589252
voc_isr	1	0.7037037037037037	0.8043478260869565	1.0	1.0	1117.0	0.2509700647747185	0.5569813752589252
biocontrol	3	0.5987654320987653	0.6739130434782609	1.0	1.0	1129.0	0.3815779709190459	0.5723669563785688
colonization_motility	9	0.763374485596708	0.7729468599033816	0.7777777777777778	0.7777777777777778	1226.0	0.7764870731729385	0.8597236752841264
iron_acquisition	11	0.3501683501683501	0.3458498023715415	0.3636363636363636	0.3636363636363636	1264.0	0.8597236752841264	0.8597236752841264
